Video,Video title,pub_dt,Views,log_views,pub_dow,pub_month,pub_year,video_length,n_countries,subscribed_share,views_7d,likes_7d,comments_7d,avg_view_pct_7d,n_comments_total
4OZip0cgOho,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1253559,14.041498061410215,4,5,2020,516,226,0.06813331524298268,121456.0,5182.0,0.0,0.33955594327149025,797.0
78LjdAAw0wA,100K Channel Update + AMA Stream!,2020-11-12,2291,7.73718007783463,3,11,2020,5029,110,0.7376691401134876,1947.0,120.0,0.0,0.07296504074761598,12.0
hO_YKK_0Qck,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,21350,9.968853855967382,3,7,2020,4112,163,0.5316485371342836,3736.0,208.0,0.0,0.14960864593434148,49.0
uXLnbdHMf8w,Why I'm Starting Data Science Over Again.,2020-08-29,49564,10.811040218466998,5,8,2020,467,177,0.3652616073770657,26867.0,2014.0,0.0,0.3482434533794196,192.0
Xgg7dIKys9E,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13429,9.505246289517283,2,8,2020,2904,151,0.4413911230265118,7974.0,405.0,0.0,0.09074370641596724,42.0
-3d1NctSv0c,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2326,7.752335163302292,5,6,2020,3413,104,0.8650042992261393,631.0,25.0,0.0,0.13581893148467436,23.0
Ip50cXvpWY4,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,297222,12.602237977795031,0,3,2020,375,209,0.24460865174213095,993.0,95.0,0.0,0.4098772803309625,262.0
4qZINLzwYyk,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,20089,9.90797745780898,4,6,2020,2269,190,0.2816109119872561,15439.0,507.0,0.0,0.11683532839657385,62.0
742LQ38OioU,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3711,8.21932609390609,2,7,2020,3493,122,0.6142857142857143,2645.0,139.0,0.0,0.08081459257985803,16.0
GmW4F6MHqqs,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,71147,11.172517493495368,0,4,2020,1678,187,0.4090493279853635,990.0,92.0,0.0,0.2734520745543551,200.0
Q9FjwzKFPuM,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,92355,11.433405953738895,5,1,2020,975,199,0.2508667388949079,246.0,17.0,0.0,0.3727926730304719,224.0
41Clrh6nv1s,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,123515,11.72412598131456,5,12,2020,549,197,0.31110913154740694,18617.0,1324.0,0.0,0.39317628521280834,219.0
8igH8qZafpo,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,237467,12.377788156536903,0,2,2020,454,207,0.21744831191608485,1015.0,121.0,0.0,0.3728350799195738,205.0
Kq9dkZu0bpg,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,6860,8.833608482690892,4,9,2020,2027,131,0.7362204724409449,4121.0,182.0,0.0,0.16142724199473119,14.0
sHRq-LshG3U,Why You Probably Won't Become a Data Scientist,2021-04-09,108133,11.591126477764394,4,4,2021,518,200,0.1979026868931814,24353.0,586.0,0.0,0.2751006466596361,189.0
S_CuB__nsmI,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4415,8.392989587956931,2,8,2020,4518,124,0.6898504757589488,2572.0,134.0,0.0,0.07255157567915219,18.0
I3FBJdiExcg,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,168183,12.032813897144962,4,7,2020,2296,200,0.27655303458997743,10898.0,636.0,0.0,0.13113234656741957,152.0
6aaIbd-GpZs,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5799,8.66561319653451,2,7,2020,1187,127,0.49629246421796863,3874.0,153.0,0.0,0.17225441025138072,31.0
QN3wXPZSjpE,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2188,7.691200097522863,3,7,2020,2291,98,0.753199268738574,885.0,47.0,0.0,0.20012466039233018,16.0
SVtRsDhHlDk,Why I Quit Data Science,2021-02-12,98777,11.500630186876077,4,2,2021,334,200,0.32078413900646024,49373.0,1255.0,0.0,0.3592824461028892,152.0
zF_Q2v_9zKY,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,41506,10.633617366693608,3,4,2019,378,164,0.08617364894181169,42.0,4.0,0.0,0.43223850065278635,138.0
_rbrdNTpZGo,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,7865,8.970304952991755,4,7,2020,578,135,0.4680824008138352,3435.0,171.0,0.0,0.2493487525267728,148.0
myhoWUrSP7o,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,21008,9.952706196323627,0,12,2020,683,170,0.31747619047619047,3234.0,308.0,0.0,0.2547526076628265,141.0
2qVWurPFwfc,Is Data Science Dying?,2021-11-19,70043,11.156878894991792,4,11,2021,549,191,0.25510729613733907,33308.0,1403.0,0.0,0.3719660720791427,130.0
zGlJ-QndG8E,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,11872,9.382022193665792,4,6,2020,828,143,0.45764854614412137,5134.0,232.0,0.0,0.278692555827245,32.0
BBDiadC8BvE,5 Essential Data Science Projects for Your Portfolio,2020-09-26,51092,10.841402780506945,5,9,2020,414,184,0.3418716315531602,11644.0,830.0,0.0,0.31657187800272246,124.0
mEZ1Hj5yQ-8,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,44924,10.71274971165176,4,5,2020,2576,170,0.36032181141494507,4573.0,277.0,0.0,0.08062714033307547,111.0
fhi4dOhmW-g,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,50234,10.824467273896415,2,4,2020,2632,182,0.418531879696251,719.0,53.0,0.0,0.2012386480494517,118.0
yukdXV9LR48,The Projects You Should Do To Get A Data Science Job,2019-07-30,131630,11.78775783244294,1,7,2019,770,200,0.2878934127822578,816.0,49.0,0.0,0.2468291624182496,107.0
g7on3Rw0Ovg,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1823,7.508787170634276,2,9,2020,3289,102,0.7690619857377948,1377.0,65.0,0.0,0.12124532785876888,12.0
hOUrxTeBJQc,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,48261,10.784399780508467,4,4,2021,601,185,0.34858139100475294,20254.0,769.0,0.0,0.27677717716301886,106.0
xpIFS6jZbe8,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,79283,11.280791621817887,0,12,2021,734,196,0.28328611898017,41879.0,2612.0,0.0,0.3513401645080673,95.0
SLC5sPZSLY4,How YOU Can Land a Sports Analytics Job,2019-12-02,50498,10.82970881308719,0,12,2019,484,181,0.13538961682557932,273.0,24.0,0.0,0.45711714369670964,91.0
m5pwx3hgtzM,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,93329,11.443896878559793,0,12,2019,373,200,0.20277223901717373,322.0,22.0,0.0,0.5473221176724357,87.0
n3vw0M5RrPU,How I Learned Data Science,2020-01-27,87169,11.375615514005622,0,1,2020,806,215,0.24667798866270396,967.0,54.0,0.0,0.3135181149853305,89.0
zSwM5uVeylU,Math Needed for Mastering Data Science,2019-12-09,48401,10.787296414165029,0,12,2019,291,190,0.2910489423733019,550.0,49.0,0.0,0.42159498640661147,90.0
qV_AlRwhI3I,What is the #66DaysOfData?,2020-12-26,52921,10.876574410409694,5,12,2020,471,180,0.32309556721137644,7649.0,461.0,0.0,0.36431441518169294,89.0
1aXk2RViq3c,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,69141,11.1439176398724,4,5,2020,829,181,0.27260738507912585,4493.0,384.0,0.0,0.2301724698207087,86.0
QWgg4w1SpJ8,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,47193,10.762022044849319,4,4,2020,4119,180,0.41745513174084603,706.0,62.0,0.0,0.15534679251577224,82.0
BZFfNwj7JhE,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,44974,10.713862058818734,4,5,2020,291,205,0.19202277934731832,16681.0,764.0,0.0,0.445433603742365,71.0
MpF9HENQjDo,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,102854,11.541075508386575,4,4,2020,448,194,0.33511508353779645,1571.0,145.0,0.0,0.36662366295206905,72.0
XjC3FPL-S78,Why You're Struggling to Learn Data Science,2020-06-12,14552,9.585552436913327,4,6,2020,375,160,0.530960071472751,8052.0,616.0,0.0,0.3981634251344283,76.0
a3VWq9smqhM,How to ULTRALEARN Data Science,2020-03-27,55316,10.920835554373275,4,3,2020,459,193,0.3157485441458386,635.0,79.0,0.0,0.4836113411745821,73.0
domVw8isGOI,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,18633,9.83274314801037,4,10,2020,474,168,0.42239062667956573,4772.0,198.0,0.0,0.366397261816128,70.0
-pdXWmj9xxU,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,10588,9.267571005430455,4,9,2020,866,149,0.6652498347029375,5902.0,454.0,0.0,0.3034651012458702,70.0
7JCterBrcvk,Discouraged with Data Science? - Watch THIS video.,2021-05-28,6825,8.828494129466652,4,5,2021,644,140,0.7222873900293255,4211.0,279.0,0.0,0.3292014658805629,71.0
xjhW1rSQeik,Data Science Advice for College Students,2020-02-14,62154,11.037386544225816,4,2,2020,653,182,0.18938845157032244,338.0,29.0,0.0,0.3315076106135641,68.0
EMq4PH7PCeA,How to Go From Data Analyst to Data Scientist,2021-04-02,40202,10.601696898688338,4,4,2021,403,182,0.3164131544225647,21768.0,575.0,0.0,0.2513120796984678,68.0
SsGKZe4dVyk,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,25141,10.132295033474776,2,8,2020,2146,176,0.5025663470337803,8897.0,491.0,0.0,0.1529125123475228,67.0
S4Lei5mOppc,How I Learned to Learn.,2021-07-31,23506,10.065053528117518,5,7,2021,1003,173,0.5174301723769195,6793.0,559.0,0.0,0.33176198050948885,68.0
ji7DtgUeKCI,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20,18307,9.815093401773533,4,11,2020,550,162,0.46658645958656897,5187.0,211.0,0.0,0.339047902790123,64.0
r-DR9HBaipU,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,25722,10.155140812296054,5,1,2021,894,165,0.5672594264368264,9623.0,587.0,0.0,0.2512255126091283,65.0
vQGJvmhpq_s,The Plagiarism Problem in Data Science,2020-08-07,12675,9.447465720810811,4,8,2020,467,155,0.5215401609594446,9269.0,505.0,0.0,0.37350852617555697,65.0
WRF_dKZ_i24,Sh*t Data Scientists Say (Parody),2020-10-05,8724,9.073947747070628,0,10,2020,128,137,0.651765245300321,6459.0,488.0,0.0,0.616437280546837,66.0
8nTmuKI2oyA,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,9135,9.119977931895791,4,5,2021,505,152,0.7021696252465484,4737.0,293.0,0.0,0.3718545882850971,62.0
QQLToUlgN7A,The Best Computer for Data Science Beginners,2020-07-10,27597,10.2254985853115,4,7,2020,395,183,0.3016397010810419,4840.0,229.0,0.0,0.4034910688360254,62.0
